SISRS_Split,Tree_Split,Node_Age_10000,Node_Age_50000
2,15,19.31470566602504,18.270626337041712
3,16,25.7529408879618,24.36083511601976
4,17,12.876470443057237,12.180417556014554
5,18,17.16862726523484,16.240556757309378
6,19,8.584313630302397,8.120278374055736
7,20,4.292156808632335,4.0601391740229715
8,21,11.445751504801116,10.827037827215747
9,22,5.722875749644523,5.41351890822704
2,15,18.76365708453808,19.182332732854725
3,16,25.01820944593192,25.576443643762403
4,17,12.509104721474792,12.788221819642231
5,18,16.678806308213034,17.050962444430183
6,19,8.339403150523879,8.525481217231764
7,20,4.169701564166566,4.262740593357314
8,21,11.119204196601395,11.367308283674333
9,22,5.5596020937679995,5.683654135706725
2,15,18.749683484541393,18.411833113469335
3,16,24.999577979269237,24.549110817921335
4,17,12.499788988137688,12.274555406900681
5,18,16.66638533048011,16.366073892410427
6,19,8.333192661643622,8.183036941493079
7,20,4.166596319683499,4.091518457184101
8,21,11.110923544745148,10.910715916869194
9,22,5.555461767822372,5.4553579528603535
2,15,18.821119752898973,19.427664981453212
3,16,25.094826337102532,25.90355330857411
4,17,12.547413167326937,12.95177665266062
5,18,16.729884233589047,17.26903554996774
6,19,8.36494211378858,8.634517771279043
7,20,4.182471048021469,4.317258874877616
8,21,11.153256148534481,11.512690357619313
9,22,5.576628070580156,5.756345174401794
2,15,19.52184325413112,18.943670224647796
3,16,26.029124338767936,25.258226966173694
4,17,13.014562168441522,12.629113481710867
5,18,17.35274956595118,16.838817986475313
6,19,8.676374780639065,8.419408989991346
7,20,4.338187383575459,4.209704486310571
8,21,11.568499705133128,11.225878650190289
9,22,5.784249849741279,5.612939321424271
2,15,19.11664624487485,19.560279294282694
3,16,25.48886165975032,26.08037239234828
4,17,12.744430828815076,13.040186194629584
5,18,16.99257444745937,17.38691493858878
6,19,8.496287221104332,8.693457465769136
7,20,4.248143602952531,4.346728722689257
8,21,11.32838295877903,11.591276617164539
9,22,5.664191476209062,5.795638304399596
2,15,18.003514685689183,19.51678402323327
3,16,24.00468624747105,26.022378697616325
4,17,12.002343122270254,13.011189347284727
5,18,16.003124175539618,17.34825247527477
6,19,8.001562084151182,8.674126234150641
7,20,4.000781031533634,4.337063107055322
8,21,10.668749441783596,11.565501641753698
9,22,5.334374716490096,5.7827508167563835
2,15,19.66030623897894,18.122087027566195
3,16,26.213741651900833,24.162782703379378
4,17,13.106870825040076,12.08139134939703
5,18,17.475827774475782,16.108521817634752
6,19,8.73791388498094,8.054260903587824
7,20,4.368956935976193,4.027130436645024
8,21,11.65055184433701,10.739014532374611
9,22,5.825275919439406,5.369507259975904
2,15,19.24473880382439,18.63706358039346
3,16,25.659651738357873,24.849418107164347
4,17,12.829825868217782,12.424709052017207
5,18,17.10643449911312,16.56627874841861
6,19,8.553217247155253,8.283139370539004
7,20,4.2766086167667225,4.141569675307309
8,21,11.404289660491784,11.044185823758554
9,22,5.702144827374099,5.522092907692283
2,15,18.110637132705072,18.857350762995132
3,16,24.147516176829928,25.143134350632536
