SISRS_Split,Tree_Split,Node_Age_10000,Node_Age_50000
1,38,20.87732037607671,22.461574606772245
2,40,27.823997268689652,29.939226367539618
3,41,13.956867318629222,14.999319181847667
4,42,9.223486534562753,9.936218080205549
5,43,4.659084338919911,5.0173751868744745
6,44,4.63569821232457,5.001782822699084
7,45,14.083177771553821,15.070737049000257
8,46,9.072833281171057,9.85677571476296
9,47,4.852652042015251,5.096302408064972
10,48,2.262084764227396,2.5788373198074055
11,39,41.72376079120271,44.90325563220044
12,50,33.708185321128006,30.58060329446866
13,51,17.15390272509663,15.531743005914365
14,52,23.43058690578242,21.097448899985125
15,53,10.590004467536673,9.675527996892015
16,54,15.720658871589833,14.069263793214304
17,55,6.083535667830688,5.732571234431646
18,56,12.944295017401146,11.287986019834932
19,57,2.2792176941155446,2.3411389985882494
20,58,10.060549470830708,8.997057840192795
21,59,3.1416199819008455,2.9827907403048073
22,60,1.4881170146044695,1.4646261210710634
24,61,46.84318455628752,48.41304879980194
25,62,38.04602716706844,39.07344937248968
26,63,28.58599830125094,29.33731847947783
27,64,18.95411711223629,19.493095339801272
28,65,9.503268140151889,9.763157636676041
29,66,14.29177942648819,14.666550649085892
30,67,7.099717824886554,7.308893372507754
31,68,19.016775889274783,19.53414581730415
32,69,23.782034109878296,24.42373068884288
33,70,28.545570715607226,29.31399054874268
1,38,21.7697822116929,21.695592169714132
2,40,29.01824286856609,28.91808346313512
3,41,14.53883521237529,14.487801000970364
4,42,9.638931746350266,9.596991986753409
5,43,4.8507333859976,4.846374019993945
6,44,4.835403992178385,4.831219150960564
7,45,14.623293032479054,14.557198439507417
8,46,9.538649697514217,9.519785294867901
9,47,4.982385555327653,4.9230946169047485
10,48,2.3737881710585924,2.4913539357898173
11,39,43.52034097418513,43.369792023406795
12,50,31.418403944972596,29.499905830901227
13,51,15.964048847818432,14.986448582195294
14,52,21.800711453819048,20.360518315942215
15,53,9.865479732767696,9.328904769076416
16,54,14.629564289680843,13.5765742278832
17,55,5.6773237454628855,5.520123470817197
18,56,11.99929537033934,10.915353405262493
19,57,2.1460287527770276,2.24270535578232
20,58,9.380974928014652,8.672258570936478
21,59,2.9247758923411453,2.879986482875779
22,60,1.3835147034490092,1.4141059823157605
24,61,47.46599271420005,46.010523270934584
25,62,38.39396685498408,37.156783898670355
26,63,28.83282867483922,27.900402286126834
27,64,19.14702689496977,18.533972573484263
28,65,9.592547284715707,9.2838931537771
29,66,14.415516804563254,13.948056409506052
30,67,7.1742898239566415,6.949202665611821
31,68,19.192470937351317,18.5757672414629
32,69,23.998642130013565,23.225861859087672
33,70,28.803477831204873,27.87665819033512
1,38,20.560350373596606,20.781619737308148
2,40,27.406053559120906,27.69968613646455
3,41,13.731336649222726,13.8789031341704
4,42,9.103136654169731,9.190984465639332
5,43,4.581358642190665,4.643440034554544
6,44,4.566748699159675,4.628253403244386
7,45,13.811784279466508,13.948324824522416
8,46,9.00761083899313,9.113721893814017
9,47,4.706718495877183,4.7203553506672336
10,48,2.2416672705733447,2.389798920896723
11,39,41.102428254818555,41.546673641603846
12,50,29.746745868695754,28.620768272275896
13,51,15.114685727533939,14.536845793057807
14,52,20.640149299328996,19.74765267065372
15,53,9.341485457347005,9.052936358720075
16,54,13.850175919792676,13.168253319664203
17,55,5.377243966866644,5.361078110206421
18,56,11.352880563244213,10.568482190067812
19,57,2.0368701638105335,2.1880723695195172
20,58,8.88133891872394,8.413505570356364
21,59,2.769893772653006,2.796109128873937
22,60,1.310774251331054,1.373027693780628
24,61,46.0283203255255,48.34057701504289
25,62,37.196035688466566,38.9419589845263
26,63,27.93002245169778,29.231614001118274
27,64,18.5538911287007,19.436949617583053
28,65,9.293761014705268,9.731439093951181
29,66,13.964214840079507,14.614157109051092
30,67,6.952548696696951,7.288064074231158
31,68,18.59403326309561,19.468969706398155
32,69,23.24965876578483,24.340938833949977
33,70,27.904092195374744,29.213406838111567
1,38,22.728835920554545,20.80271455007295
2,40,30.29954214406368,27.727171209154136
3,41,15.16884268563794,13.894656922562433
4,42,10.077589987320465,9.197216433964755
5,43,5.059173896021193,4.649887742762488
6,44,5.049231236752263,4.633633218532779
7,45,15.224346071945916,13.96880095371003
8,46,10.011888702817316,9.1146533580239
9,47,5.146738699931518,4.732280270420503
10,48,2.49279741173234,2.3974935250718516
11,39,45.439154476602965,41.58766666278542
12,50,29.152579310284978,29.11823906174162
13,51,14.804912233814335,14.791261045758986
14,52,20.216481502028984,20.09389885234974
15,53,9.152269711998741,9.21000438378195
16,54,13.566976326893041,13.398990487131144
