SISRS_Split,Tree_Split,Node_Age_10000,Node_Age_50000
1,14,3.2705849387347534,2.227396789270127
2,16,18.134401641491703,11.993510570188853
3,17,6.312727221050686,3.508782629960976
4,18,2.861904459025805,1.531372429843664
5,15,19.444135525669374,17.324531024673945
6,19,21.80400751524412,21.38580000277422
7,21,9.056999450600546,12.64445345735757
9,22,2.1774731680013595,8.155774387534187
1,14,3.0414702251789727,3.471801631005981
2,16,16.915640302524356,18.219916879066542
3,17,5.888500865312803,6.413667328053489
4,18,2.6461352332594927,2.9022545652033394
5,15,18.132830444434205,19.588593599356784
6,19,20.335828122094238,21.90048287779997
7,21,8.452491721513226,9.23685802408265
9,22,2.0372281511498223,2.5608081527005204
1,14,2.728483035260993,3.34789425344497
2,16,15.361240162311267,17.75178223138721
3,17,5.298403035892054,6.492303663443089
4,18,2.3804864019986667,2.961175311892344
5,15,16.45524975271273,19.04332248353766
6,19,18.44821777200642,21.304986106267894
7,21,7.679642996778046,8.824175510335426
9,22,1.869268925366363,2.257011785031633
1,14,2.7103757633039223,3.5631793264744296
2,16,14.988365846224038,18.206531894026206
3,17,5.232709511967929,6.0772023820257814
4,18,2.3706217299373797,2.7042377240706017
5,15,16.073838125690877,19.613010718413886
6,19,18.022161739658728,21.926858428459607
7,21,7.4885106592151445,9.51946614833555
9,22,1.8001609197361788,2.977956588919991
1,14,3.085483050825232,3.429313637990173
2,16,14.812993529461652,19.100339341977627
3,17,5.1011150306412745,7.090459550221041
4,18,2.30027996185785,3.2502284167216295
5,15,15.838421816564368,20.501534306536993
6,19,17.484159550911084,23.044172943175415
7,21,7.218222048337992,9.790042837893122
9,22,1.8487937275515023,2.689206103143672
1,14,3.201034641542787,3.286765371664721
2,16,15.386727128659176,17.300697940916226
3,17,5.297277015861766,6.357688426923055
4,18,2.38543167330468,2.915047723978418
5,15,16.452397198995964,18.57049426911386
6,19,18.164356342455036,20.775337556952746
7,21,7.503771077117712,8.593054042547678
9,22,1.9139521563386062,2.186340662716301
1,14,2.915683995265688,3.007942338038596
2,16,16.178557679834736,15.896273031443032
3,17,5.627622394209467,5.857276269966686
4,18,2.541449223605202,2.6852487615311667
5,15,17.344659828293306,17.05565183227072
6,19,19.468456751865943,19.08171214531804
7,21,8.100256130193568,7.891093134403011
9,22,1.9671323610575513,2.0171464741141563
1,14,3.238554200842934,3.4660757148700654
2,16,19.037282824899275,18.212231409300465
3,17,6.659867091894064,6.476695236795713
4,18,2.992109054647166,2.9364378911155846
5,15,20.427088770122502,19.567702372691123
6,19,23.084586837417433,21.879319625641216
7,21,9.81355346337283,9.185246985682841
9,22,2.5883104199160556,2.4949063680360055
1,14,2.9422107552854087,3.083621102002926
2,16,16.573282017273034,16.27515486326142
3,17,5.734033823725003,5.981419354864332
4,18,2.5840408938701707,2.74539669591967
5,15,17.76884946213838,17.46809766920616
6,19,19.918130697560386,19.543840353247546
7,21,8.290010538610506,8.088485062942844
9,22,2.020871705892027,2.063228761697303
1,14,3.316528081648155,3.4685903492063233
2,16,18.33077067830904,18.211823344066225
3,17,5.880849008425546,6.555879109600042
4,18,2.6020183779238018,2.984267431696189
5,15,19.704109083793934,19.560921550273907
6,19,22.00076489410855,21.867558795498848
7,21,9.36767914790795,9.144161224873692
9,22,2.5266178725486625,2.4533171507541773
1,14,2.6981154317490486,3.140485385926681
2,16,14.88398241828637,16.55763311176572
3,17,5.178379347073925,6.079841589744412
4,18,2.3340363068829717,2.787461803779898
5,15,15.962753272099908,17.770728393367317
6,19,17.907692148956528,19.89071775848593
7,21,7.448671857176343,8.234205610708788
9,22,1.8044536110337965,2.1072583787289787
1,14,3.351724473605259,3.476568164425114
2,16,18.27786326701142,18.212144735952585
3,17,5.666563671042574,6.503171937085234
4,18,2.490424416638838,2.947819034034424
5,15,19.702080923900038,19.566626578109222
6,19,21.97614638715111,21.881757647983274
7,21,9.473169066775554,9.177692817623374
9,22,2.6939868031015948,2.482088558412304
1,14,3.135670202355623,3.31514451697457
2,16,15.060506478957835,17.493099878690593
3,17,5.190762928786896,6.4199178408258675
4,18,2.3421053530663336,2.941452897316303
5,15,16.103588544699313,18.774603549776558
6,19,17.77592334588517,21.007068206628766
7,21,7.339061565379076,8.694337273403612
9,22,1.8749685695962768,2.217505017295707
1,14,3.3012337980584086,3.3573331998979654
2,16,15.90445147548578,17.687548912771476
3,17,5.4804106403820825,6.489248720316539
4,18,2.4694859256726893,2.968735393636276
5,15,17.00548196800567,18.981811991165632
6,19,18.77255020820379,21.244126631467427
7,21,7.7539929228148665,8.791424072736422
9,22,1.9788358628529288,2.2493055617518714
1,14,3.390849628876097,3.071295697312568
2,16,16.26237860334943,16.25348888551737
3,17,5.610223482923551,5.974868061579546
4,18,2.5280484320918326,2.7309652884431515
5,15,17.386336806192208,17.442382003732707
6,19,19.192222996099567,19.517711212137428
7,21,7.924096758577484,8.075591504612795
9,22,2.0277097948531093,2.0661385927891978
1,14,3.123319493280711,3.11209958590905
2,16,17.394995783393643,16.442598000464294
3,17,6.044157804867147,6.046335929843984
4,18,2.7231993807371886,2.772541672182072
5,15,18.64612103231262,17.64462995502888
6,19,20.9220725756198,19.744522627013204
7,21,8.707909549196163,8.17183558675844
9,22,2.1186269069277053,2.090891775738598
1,14,2.855556864139519,3.461492687235033
2,16,15.842142865474576,18.218214375156627
3,17,5.493394081415868,6.538287545382694
4,18,2.488083319479774,2.980092198258596
5,15,16.987143587215254,19.56721341892302
6,19,19.05066962821809,21.877508574166864
7,21,7.921621041910402,9.150239572915282
9,22,1.9157296608013823,2.446652782689128
1,14,3.1364338398221534,3.0223520957339787
2,16,17.443075929504825,15.977674260140729
3,17,6.0728696144237375,5.873117223953361
4,18,2.73987079138762,2.6946106244320305
5,15,18.698589116437923,17.146800232237016
6,19,20.972870136656553,19.187703922716278
7,21,8.718149500316041,7.9352643138679255
9,22,2.1066898721817147,2.0268688788674396
1,14,2.3256822144572595,3.3180755999001086
