1	ApoSyl,ApoUra,MasCou,MusCar,MusMus,MusSpr,PerLeu,RatNit,RatNor...EllLut,MerUng,PsaObe	40012
2	ApoSyl,ApoUra,EllLut,MasCou,MusCar,MusMus,MusSpr,RatNit,RatNor...MerUng,PerLeu,PsaObe	38400
3	ApoSyl,ApoUra,MasCou,MerUng,MusCar,MusMus,MusSpr,PerLeu,PsaObe...EllLut,RatNit,RatNor	22523
4	ApoSyl,ApoUra,EllLut,MasCou,MusCar,MusMus,MusSpr,PerLeu...MerUng,PsaObe,RatNit,RatNor	21686
5	ApoSyl,ApoUra,EllLut...MasCou,MerUng,MusCar,MusMus,MusSpr,PerLeu,PsaObe,RatNit,RatNor	17430
6	ApoSyl,ApoUra,MasCou...EllLut,MerUng,MusCar,MusMus,MusSpr,PerLeu,PsaObe,RatNit,RatNor	17382
7	ApoSyl,ApoUra,RatNit,RatNor...EllLut,MasCou,MerUng,MusCar,MusMus,MusSpr,PerLeu,PsaObe	17323
8	ApoSyl,ApoUra,EllLut,MasCou,MerUng,MusCar,MusMus,MusSpr,PsaObe...PerLeu,RatNit,RatNor	16991
9	ApoSyl,ApoUra,MerUng,MusCar,MusMus,MusSpr,PerLeu,PsaObe,RatNit,RatNor...EllLut,MasCou	16199
10	ApoSyl,ApoUra,MerUng,PsaObe...EllLut,MasCou,MusCar,MusMus,MusSpr,PerLeu,RatNit,RatNor	16025
11	ApoSyl,ApoUra,MusCar,MusMus,MusSpr...EllLut,MasCou,MerUng,PerLeu,PsaObe,RatNit,RatNor	14688
12	ApoSyl,ApoUra,EllLut,MerUng,MusCar,MusMus,MusSpr,PerLeu,PsaObe...MasCou,RatNit,RatNor	14637
13	ApoSyl,ApoUra,EllLut,MusCar,MusMus,MusSpr,PerLeu,RatNit,RatNor...MasCou,MerUng,PsaObe	14637
14	ApoSyl,ApoUra,PerLeu...EllLut,MasCou,MerUng,MusCar,MusMus,MusSpr,PsaObe,RatNit,RatNor	13277
15	ApoSyl,ApoUra,MasCou,MerUng,MusCar,MusMus,MusSpr,PsaObe...EllLut,PerLeu,RatNit,RatNor	12762
16	ApoSyl,ApoUra,EllLut,MerUng,MusCar,MusMus,MusSpr,PsaObe,RatNit,RatNor...MasCou,PerLeu	11993
17	ApoSyl,ApoUra,MasCou,MerUng,PerLeu,PsaObe,RatNit,RatNor...EllLut,MusCar,MusMus,MusSpr	11743
18	ApoSyl,ApoUra,EllLut,MerUng,PerLeu,PsaObe...MasCou,MusCar,MusMus,MusSpr,RatNit,RatNor	11349
19	ApoSyl,ApoUra,EllLut,MasCou,MerUng,PerLeu,PsaObe...MusCar,MusMus,MusSpr,RatNit,RatNor	11086
20	ApoSyl,ApoUra,EllLut,MasCou,PerLeu,RatNit,RatNor...MerUng,MusCar,MusMus,MusSpr,PsaObe	10726
21	ApoSyl,ApoUra,MusCar,MusMus,MusSpr,RatNit,RatNor...EllLut,MasCou,MerUng,PerLeu,PsaObe	9704
22	ApoSyl,ApoUra,EllLut,MasCou,MerUng,PsaObe,RatNit,RatNor...MusCar,MusMus,MusSpr,PerLeu	8732
23	ApoSyl,ApoUra,MasCou,RatNit,RatNor...EllLut,MerUng,MusCar,MusMus,MusSpr,PerLeu,PsaObe	8292
24	ApoSyl,ApoUra,EllLut,PerLeu...MasCou,MerUng,MusCar,MusMus,MusSpr,PsaObe,RatNit,RatNor	8149
25	ApoSyl,ApoUra,MerUng,MusCar,MusMus,MusSpr,PsaObe,RatNit,RatNor...EllLut,MasCou,PerLeu	7598
26	ApoSyl,ApoUra,MasCou,MusCar,MusMus,MusSpr,PerLeu,PsaObe,RatNit,RatNor...EllLut,MerUng	6130
27	ApoSyl,ApoUra,MasCou,MerUng,MusCar,MusMus,MusSpr,PerLeu,RatNit,RatNor...EllLut,PsaObe	6128
28	ApoSyl,ApoUra,MasCou,MerUng,PsaObe,RatNit,RatNor...EllLut,MusCar,MusMus,MusSpr,PerLeu	5808
29	ApoSyl,ApoUra,EllLut,MasCou,MusCar,MusMus,MusSpr...MerUng,PerLeu,PsaObe,RatNit,RatNor	5350
30	ApoSyl,ApoUra,MasCou,MerUng,MusMus,MusSpr,PerLeu,PsaObe,RatNit,RatNor...EllLut,MusCar	5302
31	ApoSyl,ApoUra,MasCou,MerUng,MusCar,MusMus,MusSpr,RatNit,RatNor...EllLut,PerLeu,PsaObe	5274
32	ApoSyl,ApoUra,MasCou,MusCar,MusMus,MusSpr,PsaObe,RatNit,RatNor...EllLut,MerUng,PerLeu	5167
33	ApoSyl,ApoUra,EllLut,MasCou,MusCar,MusMus,MusSpr,PsaObe,RatNit,RatNor...MerUng,PerLeu	4790
34	ApoSyl,ApoUra,EllLut,MasCou,MerUng,MusCar,MusMus,MusSpr,RatNit,RatNor...PerLeu,PsaObe	4633
35	ApoSyl,ApoUra,MasCou,MusCar,MusMus,MusSpr,PerLeu...EllLut,MerUng,PsaObe,RatNit,RatNor	4597
36	ApoSyl,ApoUra,EllLut,MasCou,MusMus,MusSpr,PerLeu,RatNit,RatNor...MerUng,MusCar,PsaObe	4579
37	ApoSyl,ApoUra,EllLut,MasCou,MerUng,MusMus,MusSpr,PerLeu,PsaObe...MusCar,RatNit,RatNor	4401
38	ApoSyl,ApoUra,EllLut,MasCou,MusCar,MusMus,MusSpr,PerLeu,PsaObe...MerUng,RatNit,RatNor	4299
39	ApoSyl,ApoUra,EllLut,MasCou,MerUng,MusCar,MusMus,MusSpr,PerLeu...PsaObe,RatNit,RatNor	4159
40	ApoSyl,ApoUra,EllLut,MasCou,MerUng,MusMus,MusSpr,PsaObe,RatNit,RatNor...MusCar,PerLeu	3728
41	ApoSyl,ApoUra,EllLut,MerUng,MusMus,MusSpr,PerLeu,PsaObe,RatNit,RatNor...MasCou,MusCar	3718
42	ApoSyl,ApoUra,MusCar...EllLut,MasCou,MerUng,MusMus,MusSpr,PerLeu,PsaObe,RatNit,RatNor	3561
43	ApoSyl,ApoUra,MerUng...EllLut,MasCou,MusCar,MusMus,MusSpr,PerLeu,PsaObe,RatNit,RatNor	3444
