Composite	All	All	ncGenes	168895
Composite	All	All	CDS	3266450
Composite	All	All	pseudogene	829961
Composite	All	All	smRNA	25866
Composite	All	All	intergenic	39291066
Composite	All	All	intronic	46913468
Composite	All	All	fivePrimeUTR	405721
Composite	All	All	lncRNA	36855634
Composite	All	All	threePrimeUTR	2841301
SISRS	All	All	ncGenes	763
SISRS	All	All	CDS	80624
SISRS	All	All	pseudogene	1328
SISRS	All	All	smRNA	139
SISRS	All	All	intergenic	80436
SISRS	All	All	intronic	96267
SISRS	All	All	fivePrimeUTR	4404
SISRS	All	All	lncRNA	127960
SISRS	All	All	threePrimeUTR	26921
SISRS	Good	1	ncGenes	25
SISRS	Good	1	CDS	1455
SISRS	Good	1	pseudogene	38
SISRS	Good	1	smRNA	5
SISRS	Good	1	intergenic	2213
SISRS	Good	1	intronic	2467
SISRS	Good	1	fivePrimeUTR	89
SISRS	Good	1	lncRNA	2977
SISRS	Good	1	threePrimeUTR	547
SISRS	Good	2	ncGenes	6
SISRS	Good	2	CDS	624
SISRS	Good	2	pseudogene	10
SISRS	Good	2	smRNA	0
SISRS	Good	2	intergenic	692
SISRS	Good	2	intronic	794
SISRS	Good	2	fivePrimeUTR	34
SISRS	Good	2	lncRNA	1060
SISRS	Good	2	threePrimeUTR	211
SISRS	Good	3	ncGenes	13
SISRS	Good	3	CDS	558
SISRS	Good	3	pseudogene	12
SISRS	Good	3	smRNA	1
SISRS	Good	3	intergenic	1157
SISRS	Good	3	intronic	1250
SISRS	Good	3	fivePrimeUTR	40
SISRS	Good	3	lncRNA	1477
SISRS	Good	3	threePrimeUTR	247
SISRS	Good	4	ncGenes	3
SISRS	Good	4	CDS	224
SISRS	Good	4	pseudogene	7
SISRS	Good	4	smRNA	0
SISRS	Good	4	intergenic	474
SISRS	Good	4	intronic	565
SISRS	Good	4	fivePrimeUTR	16
SISRS	Good	4	lncRNA	595
SISRS	Good	4	threePrimeUTR	87
SISRS	Good	5	ncGenes	2
SISRS	Good	5	CDS	113
SISRS	Good	5	pseudogene	5
SISRS	Good	5	smRNA	1
SISRS	Good	5	intergenic	374
SISRS	Good	5	intronic	378
SISRS	Good	5	fivePrimeUTR	11
SISRS	Good	5	lncRNA	413
SISRS	Good	5	threePrimeUTR	64
SISRS	Good	6	ncGenes	2
SISRS	Good	6	CDS	175
SISRS	Good	6	pseudogene	5
SISRS	Good	6	smRNA	0
SISRS	Good	6	intergenic	446
SISRS	Good	6	intronic	453
SISRS	Good	6	fivePrimeUTR	15
SISRS	Good	6	lncRNA	501
SISRS	Good	6	threePrimeUTR	71
SISRS	Good	7	ncGenes	2
SISRS	Good	7	CDS	267
SISRS	Good	7	pseudogene	9
SISRS	Good	7	smRNA	1
SISRS	Good	7	intergenic	550
SISRS	Good	7	intronic	600
SISRS	Good	7	fivePrimeUTR	13
SISRS	Good	7	lncRNA	705
SISRS	Good	7	threePrimeUTR	111
SISRS	Good	8	ncGenes	3
SISRS	Good	8	CDS	314
SISRS	Good	8	pseudogene	11
SISRS	Good	8	smRNA	0
SISRS	Good	8	intergenic	852
SISRS	Good	8	intronic	919
SISRS	Good	8	fivePrimeUTR	15
SISRS	Good	8	lncRNA	956
SISRS	Good	8	threePrimeUTR	140
SISRS	Good	9	ncGenes	3
SISRS	Good	9	CDS	53
SISRS	Good	9	pseudogene	3
SISRS	Good	9	smRNA	0
SISRS	Good	9	intergenic	192
SISRS	Good	9	intronic	156
SISRS	Good	9	fivePrimeUTR	3
SISRS	Good	9	lncRNA	185
