Dataset,Species Name,SISRS ID,SRR IDs,Post-Trim Bases (Gb)
Primates,Aotus nancymaae (Outgroup),AotNan,SRR1692993; SRR1692996,64
Primates,Callithrix jacchus (Outgroup),CalJac,SRR1272418; SRR1272478; SRR1282349,37.1
Primates,Colobus angolensis,ColAng,SRR1687491; SRR1687495; SRR1687501,62.4
Primates,Gorilla gorilla,GorGor,SRR748174; SRR748178,47.7
Primates,Homo sapiens,HomSap,ERR229778; ERR229779; ERR229780; ERR229784,59.9
Primates,Hylobates moloch,HylMol,SRR1390938; SRR1390939,61
Primates,Macaca mulatta,MacMul,SRR1952169; SRR1952179; SRR1952184,51.9
Primates,Macaca nemestrina,MacNem,SRR1698391; SRR1698404; SRR1698406,88.2
Primates,Pan paniscus,PanPan,SRR740816; SRR740824; SRR747643,42.9
Primates,Pan troglodytes,PanTro,SRR748063; SRR748064; SRR748065,48.8
Primates,Papio anubis,PapAnu,SRR1516196; SRR1700532; SRR1700533,41.5
Primates,Papio cynocephalus,PapCyn,SRR1513473; SRR1699449; SRR1699450,40.3
Rodents,Apodemus sylvaticus,ApoSyl,SRR2141382; SRR2141383; SRR2141384,60
Rodents,Apodemus uralensis,ApoUra,ERR1101669,77.4
Rodents,Ellobius lutescens (Outgroup),EllLut,SRR3492263; SRR3497434,56
Rodents,Mastomys coucha,MasCou,SRR6031622; SRR6031623; SRR6031631,126.1
Rodents,Meriones unguiculatus,MerUng,SRR7041744; SRR7041746; SRR7041747,90.6
Rodents,Mus caroli,MusCar,ERR133990; ERR133991; ERR133992; ERR133993,89.8
Rodents,Mus musculus,MusMus,ERR1124330; ERR1124338,129.5
Rodents,Mus spretus,MusSpr,ERR1124346; ERR1124347,133.1
Rodents,Peromyscus leucopus (Outgroup),PerLeu,SRR545958; SRR545959; SRR545960,42.5
Rodents,Psammomys obesus,PsaObe,SRR5067751; SRR5067752; SRR5067753,67.1
Rodents,Rattus nitidus,RatNit,SRR3948149; SRR3948152; SRR3948154,39
Rodents,Rattus norvegicus,RatNor,SRR1509316; SRR1509317,51.9
Pecora,Balaena mysticetus (Outgroup),BalMys,SRR1685384,106.9
Pecora,Bison bison,BisBis,SRR3509077; SRR3509078,65
Pecora,Bos taurus,BosTau,ERR1747046; ERR1747047,62.7
Pecora,Bubalis bubalis,BubBub,SRR4477891; SRR4477896; SRR4477899,89.4
Pecora,Capra aegagrus,CapAeg,ERR470100; ERR470104; ERR470106,114
Pecora,Capra hircus,CapHir,ERR315506; ERR248918; ERR234319,114.5
Pecora,Elaphurus davidianus,ElaDav,SRR5762662; SRR5762663; SRR5762664; SRR5762668,54.2
Pecora,Giraffa tippelskirchi,GirTip,SRR3218457; SRR3218458,53.3
Pecora,Hippopotamus amphibius (Outgroup),HipAmp,SRR5663646; SRR5663649,89.4
Pecora,Odocoileus virginianus,OdoVir,SRR4069807; SRR4069809,64.6
Pecora,Okapia johnstoni,OkaJoh,SRR3217625; SRR3217884,53.3
Pecora,Ovis aries,OviAri,ERR2099815; ERR2099817,64.1
