SISRS_Split,Tree_Split,Node_Age
2,15,14.091078705655182
3,16,9.39405245587109
4,17,4.697026231777748
5,18,4.697026230051392
6,19,22.54572592429722
7,20,16.909294423353515
8,21,11.272862959029531
9,22,5.6364314766302925
2,15,14.592280896832317
3,16,9.728187257691253
4,17,4.864093630640873
5,18,4.864093629794461
6,19,23.347649432680875
7,20,17.510737065044747
8,21,11.67382471492023
9,22,5.836912356028158
2,15,14.630989799987631
3,16,9.75399319304136
4,17,4.876996598339524
5,18,4.876996597484492
6,19,23.409583677701438
7,20,17.55718774869717
8,21,11.704791837409601
9,22,5.852395917259187
2,15,14.08585940201543
3,16,9.390572921428365
4,17,4.695286464205104
5,18,4.695286462626584
6,19,22.537375038900098
7,20,16.903031261076716
8,21,11.26868751662549
9,22,5.634343755670898
2,15,14.138729136929861
3,16,9.425819415036628
4,17,4.712909710032626
5,18,4.71290970886762
6,19,22.621966615951465
7,20,16.966474948798886
8,21,11.310983305967262
9,22,5.655491651021492
2,15,14.373709182374533
3,16,9.582472779401968
4,17,4.791236392022498
5,18,4.791236390947162
6,19,22.99793468890391
7,20,17.24845100452445
8,21,11.49896734259724
9,22,5.749483669487603
2,15,13.85395302001779
3,16,9.235968667920531
4,17,4.617984337138751
5,18,4.617984335682095
6,19,22.166324828076043
7,20,16.62474360448884
8,21,11.083162411483912
9,22,5.541581203295792
2,15,15.010835421987245
3,16,10.007223609006012
4,17,5.003611805979844
5,18,5.003611805279476
6,19,24.017336673325318
7,20,18.01300249718758
8,21,12.008668335497923
9,22,6.004334166562316
2,15,13.888533817534867
3,16,9.25902253419742
4,17,4.629511269940316
5,18,4.62951126862712
6,19,22.221654104513625
7,20,16.66624056352287
8,21,11.110827049983605
9,22,5.555413522781727
2,15,14.057026463301476
3,16,9.371350967587084
4,17,4.685675485870419
5,18,4.685675484887042
6,19,22.491242338673665
7,20,16.86843174303548
8,21,11.245621167698125
9,22,5.622810582183519
2,15,14.602417204245366
3,16,9.734944793094606
4,17,4.867472399108479
5,18,4.8674723979397
6,19,23.363867523612097
7,20,17.522900629380928
8,21,11.681933759743522
9,22,5.840966877910681
2,15,13.916255245489896
3,16,9.277503486623559
4,17,4.638751746032348
5,18,4.638751744772016
6,19,22.266008389389093
7,20,16.699506277798395
8,21,11.133004192521632
9,22,5.56650209413781
2,15,14.635782442342855
3,16,9.757188287952545
4,17,4.878594145793123
5,18,4.878594144939065
6,19,23.41725190547234
7,20,17.56293891953607
8,21,11.708625951296597
9,22,5.854312974204376
2,15,13.80893292730287
3,16,9.205955271409778
4,17,4.602977639247271
5,18,4.602977637635377
6,19,22.094292679288646
7,20,16.570719491054227
8,21,11.047146336787073
9,22,5.523573165691694
2,15,14.561065414168326
3,16,9.70737693592902
4,17,4.853688469755703
5,18,4.85368846891005
6,19,23.29770466042256
7,20,17.473278485867123
8,21,11.648852328795378
9,22,5.82442616296651
2,15,14.18521190660546
3,16,9.456807928020424
4,17,4.728403966560677
5,18,4.728403965382057
6,19,22.69633904738995
7,20,17.022254272202368
8,21,11.348169521654597
9,22,5.674084758843527
2,15,14.542566296529067
3,16,9.695044190859178
4,17,4.847522097214423
5,18,4.847522096370874
6,19,23.26810607220698
7,20,17.451079544734952
8,21,11.634053034693462
9,22,5.817026515918748
2,15,13.80966256075428
3,16,9.206441693649467
4,17,4.603220850383458
5,18,4.603220848764707
6,19,22.09546009279107
7,20,16.571595051098754
8,21,11.047730043524567
9,22,5.523865019049197
2,15,14.302060065778704
3,16,9.53470670127372
4,17,4.767353353063434
5,18,4.767353351941267
6,19,22.88329610222128
7,20,17.162472063970526
8,21,11.441648049170162
9,22,5.720824022696014
2,15,14.048036464165826
3,16,9.365357631245473
4,17,4.682678818655269
5,18,4.682678817268538
6,19,22.476858338896253
7,20,16.857643738379274
8,21,11.238429167008825
9,22,5.619214581176728
2,15,15.063201119217808
3,16,10.042134073960746
4,17,5.0210670384219185
5,18,5.021067037737822
6,19,24.101121788938126
7,20,18.075841334081613
8,21,12.050560893332623
9,22,6.025280445507008
2,15,14.301657877327795
3,16,9.53443857562042
4,17,4.76721929024194
5,18,4.767219289117584
6,19,22.882652600693547
7,20,17.16198943779864
8,21,11.441326298401997
9,22,5.720663147308329
2,15,14.115945981874113
3,16,9.410630645330855
4,17,4.705315325091036
5,18,4.7053153239626155
6,19,22.585513567969013
7,20,16.939135163256108
8,21,11.29275678205125
9,22,5.646378389123143
2,15,14.473380934011836
3,16,9.648920613211729
4,17,4.824460309092807
5,18,4.824460307951092
6,19,23.157409491325637
7,20,17.3680571055222
8,21,11.578704743666446
9,22,5.789352369914845
2,15,14.981258027802784
3,16,9.987505346259354
4,17,4.993752674594731
5,18,4.993752673898548
6,19,23.970012842643904
7,20,17.977509624232223
8,21,11.985006420167785
9,22,5.9925032089037416
2,15,14.663124183193823
3,16,9.775416115230101
4,17,4.8877080594206035
5,18,4.887708058572123
6,19,23.460998690848314
7,20,17.59574900862869
8,21,11.730499343993266
9,22,5.86524967056225
2,15,14.181238336226734
3,16,9.454158881087118
4,17,4.727079443097743
5,18,4.727079441917411
6,19,22.68998133477936
7,20,17.01748598772501
8,21,11.34499066534633
9,22,5.672495330686516
2,15,14.11392788389061
3,16,9.409285246688725
4,17,4.704642625766326
5,18,4.704642624639369
6,19,22.582284611199764
7,20,16.93671344569721
8,21,11.291142303669744
9,22,5.64557114993476
2,15,14.822053577959771
3,16,9.881369044866219
4,17,4.940684524295975
5,18,4.940684523427777
6,19,23.715285722408822
7,20,17.786464282030234
8,21,11.857642859721054
9,22,5.928821428396148
2,15,14.315378504799792
3,16,9.543585661227752
4,17,4.771792832878873
5,18,4.771792831825415
6,19,22.904605604851312
7,20,17.178454191760874
8,21,11.45230280062016
9,22,5.726151398534007
2,15,14.360149064422988
3,16,9.573432701327604
4,17,4.786716352835789
5,18,4.786716351823067
6,19,22.976238500362456
7,20,17.23217886387063
8,21,11.48811924845225
9,22,5.744059622517625
2,15,14.398607143627814
3,16,9.599071417463719
4,17,4.799535711793396
5,18,4.799535710407042
6,19,23.037771426011236
7,20,17.278328553626544
8,21,11.5188857105301
9,22,5.759442852943863
2,15,14.72192799021019
3,16,9.814618653325418
4,17,4.907309328446431
5,18,4.907309327608878
6,19,23.555084782102497
7,20,17.666313577187175
8,21,11.777542389636984
9,22,5.888771193402853
2,15,15.096112927582574
3,16,10.064075278206253
4,17,5.032037640900008
5,18,5.0320376400669815
6,19,24.153780681891437
7,20,18.11533550200821
8,21,12.076890339510683
9,22,6.038445168352041
2,15,14.421808296900316
3,16,9.614538854828965
4,17,4.807269429983016
5,18,4.807269428805185
6,19,23.074893271846726
7,20,17.306169940493877
8,21,11.537446633860291
9,22,5.76872331495175
2,15,14.150488216206583
3,16,9.433658800000629
4,17,4.716829402840247
5,18,4.7168294015384475
6,19,22.64078114239893
7,20,16.98058584199448
8,21,11.320390568917869
9,22,5.66019528227244
2,15,15.082971908909414
3,16,10.055314600475683
4,17,5.027657301665208
5,18,5.0276573009875705
6,19,24.132755052462308
7,20,18.09956628179845
8,21,12.066377525106134
9,22,6.033188761404588
2,15,13.785944713957132
3,16,9.19062979662862
4,17,4.595314901647683
5,18,4.595314900122922
6,19,22.05751153818825
7,20,16.54313363627995
8,21,11.028755766413077
9,22,5.514377880647473
2,15,13.711319450660223
3,16,9.140879620911804
4,17,4.570439813837304
5,18,4.570439812288953
6,19,21.93811111685222
7,20,16.45358332001905
8,21,10.969055555707751
9,22,5.484527775254314
2,15,14.391563514824178
3,16,9.594375667828068
4,17,4.797187836202099
5,18,4.797187835141486
6,19,23.026501620864437
7,20,17.269876203666392
8,21,11.513250808604958
9,22,5.756625402515908
2,15,14.95434775261236
3,16,9.969565162480606
4,17,4.984782582790018
5,18,4.984782582057434
6,19,23.9269564022359
7,20,17.945217293496004
8,21,11.963478199893515
9,22,5.981739098706548
2,15,14.292822709176136
3,16,9.528548463553683
4,17,4.764274234199284
5,18,4.764274233078545
6,19,22.8685163316619
7,20,17.151387236070395
8,21,11.434258163894231
9,22,5.717129080060239
2,15,14.195919024362674
3,16,9.463946006569998
4,17,4.73197300582369
5,18,4.7319730046504205
6,19,22.71347043581613
7,20,17.03510281358322
8,21,11.356735215877187
9,22,5.678367605963807
2,15,13.902400316623574
3,16,9.268266865700674
4,17,4.634133436018253
5,18,4.63413343456822
6,19,22.24384050265963
7,20,16.6828803604907
8,21,11.121920248782637
9,22,5.5609601219572085
2,15,14.829569487797688
3,16,9.886379651440556
4,17,4.943189827579033
5,18,4.943189826712782
6,19,23.727311178154658
7,20,17.795483373861295
8,21,11.863655587597208
9,22,5.931827792337515
2,15,15.230950644471967
3,16,10.153967089631543
4,17,5.076983546569785
5,18,5.076983545758161
6,19,24.3695210289692
7,20,18.277140762548083
8,21,12.18476051308238
9,22,6.092380255174575
2,15,14.099439973048014
3,16,9.399626636782727
4,17,4.699813321527081
5,18,4.6998133200986345
6,19,22.55910395298495
7,20,16.919327948432112
8,21,11.279551973964601
9,22,5.639775984587054
2,15,14.305255153690503
3,16,9.536836759976616
4,17,4.768418382389598
5,18,4.768418381278266
6,19,22.88840824291077
7,20,17.166306169616256
8,21,11.444204119535982
9,22,5.722102057896819
2,15,15.188211961155993
3,16,10.125474634882963
4,17,5.062737318982897
5,18,5.062737318259771
6,19,24.301139135920817
7,20,18.22585434382855
8,21,12.150569566737275
9,22,6.075284782146717
2,15,13.690433348728675
3,16,9.126955552559572
4,17,4.563477779766934
5,18,4.563477778173038
6,19,21.904693353632343
7,20,16.428519997066875
8,21,10.95234667401025
9,22,5.476173334330369
2,15,14.84804987820511
3,16,9.898699911751493
4,17,4.949349957724216
5,18,4.949349956862811
6,19,23.756879802819437
7,20,17.817659842414102
8,21,11.878439899937732
9,22,5.939219948515984
2,15,14.98679969299031
3,16,9.991199789998966
4,17,4.995599896389599
5,18,4.995599895725164
6,19,23.97887950703502
7,20,17.984159622904446
8,21,11.98943975242598
9,22,5.994719875085103
2,15,14.735534644871947
3,16,9.823689756451081
4,17,4.911844880004672
5,18,4.911844879169436
6,19,23.576855429567253
7,20,17.68264156281069
8,21,11.788427713372826
9,22,5.894213855274778
2,15,14.420752677984432
3,16,9.613835108880757
4,17,4.806917557010031
5,18,4.806917555831696
6,19,23.073204281579905
7,20,17.304903197787926
8,21,11.536602138725982
9,22,5.768301067383732
2,15,14.119339462443556
3,16,9.412892965687938
4,17,4.7064464852756345
5,18,4.706446484144784
6,19,22.590943136872873
7,20,16.943207339903996
8,21,11.295471566497987
9,22,5.647735781342583
2,15,14.266149389154297
3,16,9.510766250356241
4,17,4.75538312756008
5,18,4.755383126455563
6,19,22.82583901967524
7,20,17.119379252280677
8,21,11.412919507935705
9,22,5.706459752107115
2,15,14.995573419580225
3,16,9.997048941081182
4,17,4.998524471924867
5,18,4.998524471263131
6,19,23.992917469586136
7,20,17.99468809484841
8,21,11.996458733706227
9,22,5.998229365729763
2,15,14.694565862106806
3,16,9.796377234551635
4,17,4.8981886190694155
5,18,4.8981886182268966
6,19,23.511305377124405
7,20,17.63347902340024
8,21,11.755652687140426
9,22,5.877826342146051
2,15,15.172131340438341
3,16,10.1147542226541
4,17,5.057377112446183
5,18,5.057377111900649
6,19,24.27541014328434
7,20,18.20655760148014
8,21,12.137705070773492
9,22,6.068852534456177
2,15,13.694899799596087
3,16,9.129933184697727
4,17,4.564966596308949
5,18,4.564966594515852
6,19,21.911839674445766
7,20,16.43387973529229
8,21,10.955919834020499
9,22,5.4779599140088
2,15,13.90651665519946
3,16,9.271011091693431
4,17,4.6355055489412464
5,18,4.6355055475223494
6,19,22.25042664447029
7,20,16.68781996721982
8,21,11.125213319749285
9,22,5.56260665749172
2,15,13.714738285727375
3,16,9.143158844505614
4,17,4.571579425576765
5,18,4.571579424052786
