SISRS_Split,Tree_Split,Median_Age
2,15,14.478313912447433
3,16,9.652209265541035
4,17,4.826104635247141
5,18,4.826104634109946
6,19,23.16530225683522
7,20,17.373976679707148
8,21,11.582651126429736
9,22,5.791325561303964
