SISRS_Split,Tree_Split,Node_Age
1,14,2.3195857389150945
2,16,12.734330041861625
3,17,4.227891431628681
4,18,1.887033786789928
5,15,13.812056079746782
6,19,15.888476774213153
7,21,4.920483478715198
9,22,1.681379652703832
1,14,2.9711067472621657
2,16,15.707121855373966
3,17,5.776959303234484
4,18,2.643293513147597
5,15,16.85453160994812
6,19,18.857258532835846
7,21,7.7981092154988865
9,22,1.9921067981125624
1,14,3.3406050888327385
2,16,17.667262874988978
3,17,6.489742462133805
4,18,2.9723540133657274
5,15,18.95978120357167
6,19,21.21892312972585
7,21,8.783400084720629
9,22,2.2473752957993867
1,14,3.2057348051773786
2,16,16.733438337595803
3,17,6.153408239330435
4,18,2.831546512117704
5,15,17.959726878280698
6,19,20.068862498591837
7,21,8.29487007640973
9,22,2.1119893644901566
1,14,3.451880372552303
2,16,18.174187711155273
3,17,6.6542892014022
4,18,3.046136945757109
5,15,19.51139884080419
6,19,21.837745259148985
7,21,9.055800763957993
9,22,2.334552934744952
1,14,3.341236808663865
2,16,18.558377857457717
3,17,6.779100697671602
4,18,3.100182019636833
5,15,19.939553840859872
6,19,22.43686067900237
7,21,9.450265997719189
9,22,2.5600778286050705
1,14,3.465186266112397
2,16,18.18665844540793
3,17,6.635666023730515
4,18,3.0386427457389154
5,15,19.52485822234597
6,19,21.844268385996436
7,21,9.06947504196252
9,22,2.3469922761679882
1,14,3.347608452536253
2,16,14.663147447373715
3,17,5.13487973559192
4,18,2.3188763017379834
5,15,15.732266192270025
6,19,17.396263851993673
7,21,7.167235986810528
9,22,1.906826462707496
1,14,3.3471588997526602
2,16,17.64332394813496
3,17,6.465179628219154
4,18,2.9592791160030423
5,15,18.937336149417412
6,19,21.189434679745357
7,21,8.77297902499122
9,22,2.2399444909890036
1,14,3.410355312916071
2,16,17.967426848007822
3,17,6.618252501198484
4,18,3.031164701214287
5,15,19.28208069279239
6,19,21.577183619318376
7,21,8.921873384237898
9,22,2.271327324608631
1,14,3.360517627019753
2,16,17.740498714969636
3,17,6.4737638193136675
4,18,2.9567164809882307
5,15,19.03308618617928
6,19,21.295075635275712
7,21,8.822718321165041
9,22,2.2629892602973563
1,14,2.1915095919350946
2,16,11.814825740110926
3,17,3.4562935829049444
4,18,1.5071844761980095
5,15,17.065085699781566
6,19,21.064593035046336
7,21,12.453777293637295
9,22,8.03213316047492
1,14,2.928682695043989
2,16,15.442383539882464
3,17,5.684559284752819
4,18,2.6059309390656438
5,15,16.572119137148245
6,19,18.54430893127317
7,21,7.672202277285471
9,22,1.959277951674082
1,14,3.3901089337608887
2,16,17.918854793781215
3,17,6.573483014890659
4,18,3.013482387597353
5,15,19.233036869372977
6,19,21.5251313731384
7,21,8.912498546299766
9,22,2.284576007464242
1,14,3.1731876375581756
2,16,16.727136610969303
3,17,6.152503450092556
4,18,2.8216189938358873
5,15,17.95111078309948
6,19,20.087351462750938
7,21,8.3085425032518
9,22,2.120625688995492
1,14,2.9181747377765284
2,16,15.406109925160287
3,17,5.680226958027461
4,18,2.6077131164407525
5,15,16.533176489815208
6,19,18.501559051109258
7,21,7.649813846853405
9,22,1.9499611331982294
1,14,3.0232850157852234
2,16,15.972946217571327
3,17,5.885075470069658
4,18,2.697872393454105
5,15,17.13931161743346
6,19,19.17837955931182
7,21,7.929162358417262
9,22,2.017974755641564
1,14,2.8294922904726008
2,16,14.952517184954425
3,17,5.497407969548387
4,18,2.5163865361419973
5,15,16.044316685976494
6,19,17.956904316023085
7,21,7.430450382417661
9,22,1.9020793610276883
1,14,3.1310692201787553
2,16,16.50278163174521
3,17,6.053603032861506
4,18,2.7677102850247017
5,15,17.709833271296013
6,19,19.81166813419296
7,21,8.197883496914415
9,22,2.090553703478779
1,14,2.155298461791869
2,16,11.616488996475972
3,17,3.3981735570342124
4,18,1.4816271311767473
5,15,16.773255846435035
6,19,20.704304024055816
7,21,12.240230215372904
9,22,7.894028471824573
1,14,3.350764296455626
2,16,17.46260181691858
3,17,6.4315567139832766
4,18,2.958169838212708
5,15,18.739266543871533
6,19,20.933889841452896
7,21,8.646272892675526
9,22,2.198697429350645
1,14,2.9903481312627527
2,16,15.762145915317781
3,17,5.797499930634153
4,18,2.6593852336227037
5,15,16.915492118971212
6,19,18.930231500979925
7,21,7.831871508158869
9,22,2.003799661562738
1,14,3.459342725155235
2,16,18.214547767298903
3,17,6.560866211214389
4,18,2.9861270690670665
5,15,19.56286354861686
6,19,21.874606711660235
7,21,9.135380349369218
9,22,2.4258679074290974
1,14,3.2883627526851598
2,16,17.307732228939464
3,17,6.351233345173455
4,18,2.9129923798729784
5,15,18.577252843240043
6,19,20.7839568501016
7,21,8.599885929561715
9,22,2.1886346751686006
1,14,2.888165409447769
2,16,15.207451773052483
3,17,5.596912296312258
4,18,2.559345110221418
5,15,16.319003184857635
6,19,18.254471971050243
7,21,7.551864729699794
9,22,1.928092306478856
1,14,3.017657482107495
2,16,15.940612109776508
3,17,5.875766309565996
4,18,2.6928949401727778
5,15,17.106150708723572
6,19,19.14658014205631
7,21,7.917983854825753
9,22,2.025253219550688
1,14,3.3459175796799308
2,16,17.684033201856973
3,17,6.492238391145328
4,18,2.9705167754106583
5,15,18.978346549286798
6,19,21.232020873543494
7,21,8.783723982448919
9,22,2.239565331321451
1,14,3.4310133794436872
2,16,18.121001046490456
3,17,6.658595378579982
4,18,3.050512993443462
5,15,19.445431237185968
6,19,21.754893720743652
7,21,8.998423638894511
9,22,2.2924464548873047
1,14,3.208878160502003
2,16,16.944579300542593
3,17,6.233513884509382
4,18,2.8573986762887778
5,15,18.183004502764867
6,19,20.345745262887988
7,21,8.41546966109571
9,22,2.1498288770548157
1,14,3.3892802800125885
2,16,18.811760656699704
3,17,6.9323853484786255
4,18,3.170461145726634
5,15,20.206024877031123
6,19,22.72366306739454
7,21,9.618282492528582
9,22,2.616195198726139
1,14,2.993402215147807
2,16,15.694740652908797
3,17,5.776347083684286
4,18,2.64475720589418
5,15,16.847872693325062
6,19,18.854873702919445
7,21,7.8005516698932595
9,22,1.9867908848798699
1,14,3.4329384627788357
2,16,18.045780291348656
3,17,6.629450981711209
4,18,3.0350176734582277
5,15,19.369282437203125
6,19,21.68766873851259
7,21,8.982663202222668
9,22,2.3022912799991815
1,14,3.31410487723112
2,16,18.497697438658935
3,17,6.730413144972065
4,18,3.079058042179742
5,15,19.880999679545152
6,19,22.38358368087463
7,21,9.426581419576177
9,22,2.5706733929943226
1,14,3.0650534736806883
2,16,16.087611653341163
3,17,5.900953465821164
4,18,2.712724797302485
5,15,17.26983822143444
6,19,19.316623860281677
7,21,7.992609305956719
9,22,2.039110718555783
1,14,3.485983030778545
2,16,18.20755253455592
3,17,6.214338329394039
4,18,2.794030695489827
5,15,19.61225464621971
6,19,21.93862555681485
7,21,9.392913389678895
9,22,2.7681457646461993
1,14,3.39338699286807
2,16,19.024667182478478
3,17,7.066606555627388
4,18,3.2163079617726638
5,15,20.41841698665572
6,19,22.96323467425208
7,21,9.749361476218283
9,22,2.6784962184856944
1,14,3.0959496032300713
2,16,16.362504444228055
3,17,6.024980018870426
4,18,2.7596353365351796
5,15,17.557599831332706
6,19,19.644563769570233
7,21,8.131187337555346
9,22,2.084436758922486
1,14,3.0129069389222387
2,16,15.883230043862316
3,17,5.837878994361503
4,18,2.677728047734554
5,15,17.045828999980085
6,19,19.06888934026069
7,21,7.890185715067322
9,22,2.017959599287561
1,14,2.917825999862494
2,16,15.385235918025367
3,17,5.652236495355524
4,18,2.5897360498258344
5,15,16.511804376501452
6,19,18.476446449406648
7,21,7.646155057214397
9,22,1.9496528812602918
1,14,3.250575438566255
2,16,17.069659372719574
3,17,6.253420148144897
4,18,2.886461022764255
5,15,18.322902103395517
6,19,20.50484093779707
7,21,8.484907840431035
9,22,2.1662036939055263
1,14,3.2381810762993553
2,16,17.040286516453328
3,17,6.263777228333176
4,18,2.859721056852141
5,15,18.288469644222236
6,19,20.470520166871566
7,21,8.474784101821392
9,22,2.167745418988339
1,14,3.123790169589867
2,16,16.48703596726758
3,17,6.059544659089994
4,18,2.7772526088520877
5,15,17.693952054288836
6,19,19.801155300439618
7,21,8.192849660884363
9,22,2.095374484780283
1,14,3.3201204617650006
2,16,17.50049252564891
3,17,6.430900591358725
4,18,2.947180645727819
5,15,18.782439449181716
6,19,21.019450451020823
7,21,8.696858583131611
9,22,2.2171388741190157
1,14,3.494362950552638
2,16,15.414047858538835
3,17,5.403856752461461
4,18,2.4433580204745518
5,15,16.5369674832039
6,19,18.28909910186006
7,21,7.539192494481696
9,22,2.0015092718284713
1,14,3.179482225743204
2,16,16.80671918218239
3,17,6.171983259794466
4,18,2.8274583385726686
5,15,18.038103797631507
6,19,20.183145596321808
7,21,8.35475162685314
9,22,2.1346581802036155
1,14,3.190265644901988
2,16,16.838372330529214
3,17,6.171773102489851
4,18,2.8266413208257646
5,15,18.06839916270413
6,19,20.214313312907112
7,21,8.367056331138333
