1	BalMys,ElaDav,HipAmp,OdoVir...BisBis,BosTau,BubBub,CapAeg,CapHir,GirTip,OkaJoh,OviAri	61502
2	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,HipAmp,OviAri...ElaDav,GirTip,OdoVir,OkaJoh	55655
3	BalMys,CapAeg,CapHir,HipAmp,OviAri...BisBis,BosTau,BubBub,ElaDav,GirTip,OdoVir,OkaJoh	50927
4	BalMys,BisBis,BosTau,BubBub,ElaDav,GirTip,OdoVir,OkaJoh...CapAeg,CapHir,HipAmp,OviAri	38776
5	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,OdoVir,OviAri...GirTip,HipAmp,OkaJoh	37716
6	BalMys,HipAmp,OdoVir...BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,GirTip,OkaJoh,OviAri	36032
7	BalMys,HipAmp,OkaJoh...BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,GirTip,OdoVir,OviAri	33845
8	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,GirTip,OkaJoh,OviAri...ElaDav,HipAmp,OdoVir	33183
9	BalMys,ElaDav,HipAmp...BisBis,BosTau,BubBub,CapAeg,CapHir,GirTip,OdoVir,OkaJoh,OviAri	32943
10	BalMys,GirTip,HipAmp...BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,OdoVir,OkaJoh,OviAri	32748
11	BalMys,GirTip,OkaJoh...BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,HipAmp,OdoVir,OviAri	30411
12	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,GirTip,OkaJoh,OviAri...HipAmp,OdoVir	29273
13	BalMys,CapAeg,CapHir,OviAri...BisBis,BosTau,BubBub,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh	27663
14	BalMys,BisBis,BosTau,BubBub,HipAmp...CapAeg,CapHir,ElaDav,GirTip,OdoVir,OkaJoh,OviAri	27526
15	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,GirTip,OdoVir,OkaJoh,OviAri...ElaDav,HipAmp	26588
16	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,GirTip,OdoVir,OviAri...HipAmp,OkaJoh	26401
17	BalMys,ElaDav,OdoVir...BisBis,BosTau,BubBub,CapAeg,CapHir,GirTip,HipAmp,OkaJoh,OviAri	24896
18	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,OdoVir,OkaJoh,OviAri...GirTip,HipAmp	24610
19	BalMys,BubBub,HipAmp...BisBis,BosTau,CapAeg,CapHir,ElaDav,GirTip,OdoVir,OkaJoh,OviAri	23581
20	BalMys,OdoVir...BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OkaJoh,OviAri	21561
21	BalMys,BisBis,BosTau,HipAmp...BubBub,CapAeg,CapHir,ElaDav,GirTip,OdoVir,OkaJoh,OviAri	21158
22	BalMys,CapAeg,CapHir,ElaDav,GirTip,OdoVir,OkaJoh,OviAri...BisBis,BosTau,BubBub,HipAmp	20176
23	BalMys,ElaDav...BisBis,BosTau,BubBub,CapAeg,CapHir,GirTip,HipAmp,OdoVir,OkaJoh,OviAri	19849
24	BalMys,OkaJoh...BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OviAri	19595
25	BalMys,BisBis,BosTau,CapAeg,CapHir,ElaDav,GirTip,OdoVir,OkaJoh,OviAri...BubBub,HipAmp	19180
26	BalMys,ElaDav,GirTip,OdoVir,OkaJoh...BisBis,BosTau,BubBub,CapAeg,CapHir,HipAmp,OviAri	18880
27	BalMys,GirTip...BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,HipAmp,OdoVir,OkaJoh,OviAri	18365
28	BalMys,BisBis,BosTau,BubBub,GirTip,HipAmp,OkaJoh...CapAeg,CapHir,ElaDav,OdoVir,OviAri	17888
29	BalMys,BubBub,CapAeg,CapHir,ElaDav,GirTip,OdoVir,OkaJoh,OviAri...BisBis,BosTau,HipAmp	17348
30	BalMys,CapAeg,CapHir,HipAmp...BisBis,BosTau,BubBub,ElaDav,GirTip,OdoVir,OkaJoh,OviAri	17132
31	BalMys,BisBis,BosTau,BubBub...CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh,OviAri	14539
32	BalMys,BubBub...BisBis,BosTau,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh,OviAri	14502
33	BalMys,BisBis,BosTau,BubBub,ElaDav,HipAmp,OdoVir...CapAeg,CapHir,GirTip,OkaJoh,OviAri	14252
34	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,OviAri...ElaDav,GirTip,HipAmp,OdoVir,OkaJoh	14188
35	BalMys,HipAmp,OviAri...BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,GirTip,OdoVir,OkaJoh	14058
36	BalMys,BisBis,BosTau,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh...BubBub,CapAeg,CapHir,OviAri	13961
37	BalMys,BisBis,BosTau,BubBub,ElaDav,GirTip,OdoVir,OkaJoh,OviAri...CapAeg,CapHir,HipAmp	13945
38	BalMys,CapAeg,CapHir,GirTip,HipAmp,OkaJoh,OviAri...BisBis,BosTau,BubBub,ElaDav,OdoVir	13730
39	BalMys,BubBub,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh...BisBis,BosTau,CapAeg,CapHir,OviAri	13323
40	BalMys,BisBis,BosTau...BubBub,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh,OviAri	12785
41	BalMys,BisBis,BosTau,BubBub,ElaDav,GirTip,HipAmp,OkaJoh...CapAeg,CapHir,OdoVir,OviAri	12398
42	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,GirTip,OdoVir,OkaJoh...HipAmp,OviAri	12130
43	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,HipAmp,OviAri...GirTip,OdoVir,OkaJoh	11664
44	BalMys,BisBis,BosTau,BubBub,GirTip,HipAmp,OdoVir,OkaJoh...CapAeg,CapHir,ElaDav,OviAri	11592
45	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,HipAmp,OdoVir,OviAri...ElaDav,GirTip,OkaJoh	10997
46	BalMys,CapAeg,CapHir,ElaDav,HipAmp,OdoVir,OviAri...BisBis,BosTau,BubBub,GirTip,OkaJoh	10424
47	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,GirTip,HipAmp,OviAri...ElaDav,OdoVir,OkaJoh	10316
48	BalMys,CapAeg,CapHir...BisBis,BosTau,BubBub,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh,OviAri	10059
49	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,HipAmp,OkaJoh,OviAri...ElaDav,GirTip,OdoVir	9985
50	BalMys,BisBis,BosTau,BubBub,ElaDav,GirTip,HipAmp,OdoVir...CapAeg,CapHir,OkaJoh,OviAri	9878
51	BalMys,BisBis,BosTau,BubBub,ElaDav,HipAmp,OdoVir,OkaJoh...CapAeg,CapHir,GirTip,OviAri	8985
52	BalMys,OviAri...BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh	8946
53	BalMys,GirTip,HipAmp,OdoVir,OkaJoh...BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,OviAri	8813
54	BalMys,ElaDav,GirTip,HipAmp,OkaJoh...BisBis,BosTau,BubBub,CapAeg,CapHir,OdoVir,OviAri	8784
55	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OviAri...OdoVir,OkaJoh	8172
56	BalMys,BisBis,BosTau,CapAeg,CapHir,GirTip,HipAmp,OkaJoh,OviAri...BubBub,ElaDav,OdoVir	7784
57	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,GirTip,HipAmp,OdoVir,OviAri...ElaDav,OkaJoh	7522
58	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,HipAmp,OkaJoh,OviAri...GirTip,OdoVir	7492
59	BalMys,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OkaJoh,OviAri...BisBis,BosTau,BubBub,OdoVir	7200
60	BalMys,BisBis,BosTau,CapAeg,CapHir,ElaDav,HipAmp,OdoVir,OviAri...BubBub,GirTip,OkaJoh	7079
61	BalMys,BubBub,CapAeg,CapHir,GirTip,HipAmp,OkaJoh,OviAri...BisBis,BosTau,ElaDav,OdoVir	6978
62	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,HipAmp,OdoVir,OkaJoh,OviAri...ElaDav,GirTip	6973
63	BalMys,CapAeg,CapHir,GirTip,HipAmp,OdoVir,OkaJoh,OviAri...BisBis,BosTau,BubBub,ElaDav	6801
64	BalMys,BisBis,HipAmp...BosTau,BubBub,CapAeg,CapHir,ElaDav,GirTip,OdoVir,OkaJoh,OviAri	6792
65	BalMys,BisBis,BosTau,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OkaJoh,OviAri...BubBub,OdoVir	6543
66	BalMys,BubBub,CapAeg,CapHir,ElaDav,HipAmp,OdoVir,OviAri...BisBis,BosTau,GirTip,OkaJoh	5999
67	BalMys,BisBis,BosTau,CapAeg,CapHir,GirTip,HipAmp,OdoVir,OkaJoh,OviAri...BubBub,ElaDav	5911
68	BalMys,ElaDav,GirTip,HipAmp,OdoVir...BisBis,BosTau,BubBub,CapAeg,CapHir,OkaJoh,OviAri	5860
69	BalMys,BosTau,HipAmp...BisBis,BubBub,CapAeg,CapHir,ElaDav,GirTip,OdoVir,OkaJoh,OviAri	5782
70	BalMys,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh...BisBis,BosTau,BubBub,OviAri	5763
71	BalMys,ElaDav,HipAmp,OdoVir,OkaJoh...BisBis,BosTau,BubBub,CapAeg,CapHir,GirTip,OviAri	5678
72	BalMys,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OviAri...BisBis,BosTau,BubBub,OkaJoh	5675
73	BalMys,BosTau,BubBub,CapAeg,CapHir,ElaDav,GirTip,OdoVir,OkaJoh,OviAri...BisBis,HipAmp	5666
74	BalMys,BubBub,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OkaJoh,OviAri...BisBis,BosTau,OdoVir	5623
75	BalMys,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh,OviAri...BisBis,BosTau,BubBub,CapAeg,CapHir	5593
76	BalMys,BisBis,BosTau,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OviAri...BubBub,OkaJoh	5487
77	BalMys,CapAeg,CapHir,ElaDav,HipAmp,OdoVir,OkaJoh,OviAri...BisBis,BosTau,BubBub,GirTip	5331
