Split	Taxa_A	Taxa_B	Node	Median_Node_Age
1	EllLut,MasCou,MerUng,MusCar,MusMus,MusSpr,PerLeu,PsaObe,RatNit,RatNor	ApoSyl,ApoUra	14	3.2082533586538418
2	MasCou,MusCar,MusMus,MusSpr	ApoSyl,ApoUra,EllLut,MerUng,PerLeu,PsaObe,RatNit,RatNor	16	16.750732174737898
3	MusCar,MusMus,MusSpr	ApoSyl,ApoUra,EllLut,MasCou,MerUng,PerLeu,PsaObe,RatNit,RatNor	17	6.109583353175905
4	MusMus,MusSpr	ApoSyl,ApoUra,EllLut,MasCou,MerUng,MusCar,PerLeu,PsaObe,RatNit,RatNor	18	2.7895168656758713
5	EllLut,MerUng,PerLeu,PsaObe,RatNit,RatNor	ApoSyl,ApoUra,MasCou,MusCar,MusMus,MusSpr	15	17.97474144285942
6	EllLut,MerUng,PerLeu,PsaObe	ApoSyl,ApoUra,MasCou,MusCar,MusMus,MusSpr,RatNit,RatNor	19	20.38642611935135
7	MerUng,PsaObe	ApoSyl,ApoUra,EllLut,MasCou,MusCar,MusMus,MusSpr,PerLeu,RatNit,RatNor	21	8.443737441899442
Root	EllLut,PerLeu	ApoSyl,ApoUra,MasCou,MerUng,MusCar,MusMus,MusSpr,PsaObe,RatNit,RatNor	NA	NA
9	RatNit,RatNor	ApoSyl,ApoUra,EllLut,MasCou,MerUng,MusCar,MusMus,MusSpr,PerLeu,PsaObe	22	2.1578456456021513
