Split	Taxa_A	Taxa_B	Node	Median_Node_Age
Root	BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,GirTip,OdoVir,OkaJoh,OviAri	BalMys,HipAmp	NA	NA
2	GirTip,OkaJoh	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,HipAmp,OdoVir,OviAri	15	18.840048223216826
3	BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,OdoVir,OviAri	BalMys,GirTip,HipAmp,OkaJoh	16	25.120064297594517
4	ElaDav,OdoVir	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,GirTip,HipAmp,OkaJoh,OviAri	17	12.56003214721446
5	BisBis,BosTau,BubBub,CapAeg,CapHir,OviAri	BalMys,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh	18	16.746709542212976
6	CapAeg,CapHir,OviAri	BalMys,BisBis,BosTau,BubBub,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh	19	8.373354767424772
7	CapAeg,CapHir	BalMys,BisBis,BosTau,BubBub,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh,OviAri	20	4.186677373523377
8	BisBis,BosTau,BubBub	BalMys,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh,OviAri	21	11.164473019477064
9	BisBis,BosTau	BalMys,BubBub,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh,OviAri	22	5.582236505488108
