SISRS_Split,Tree_Split,Median_Age
1,38,21.672424806637203
2,40,28.8864322564674
3,41,14.47267332077866
4,42,9.58082787858747
5,43,4.839661313727795
6,44,4.825707398179112
7,45,14.538959584067527
8,46,9.504995507905477
9,47,4.925134891439264
10,48,2.495660991929533
11,39,43.32022926050258
12,50,29.888206519309634
13,51,15.183853291935947
14,52,20.628120778279083
15,53,9.455653642746242
16,54,13.754911243226076
17,55,5.5932034312238486
18,56,11.06257551034762
19,57,2.270731651376785
20,58,8.793916559454814
21,59,2.9180191919358833
22,60,1.4329289536643088
24,61,46.56656731949684
25,62,37.6300430963212
26,63,28.257136189192366
27,64,18.766769225191453
28,65,9.40139225619344
29,66,14.126654451780539
30,67,7.036224717907395
31,68,18.811995904924636
32,69,23.522111158661495
33,70,28.234171147451065
