SISRS_Split,Tree_Split,Median_Age
1,14,3.1908872856319093
2,16,16.729961011976556
3,17,6.083660422153109
4,18,2.780564506455299
5,15,17.95462494761626
6,19,20.390203384191402
7,21,8.451449348527055
9,22,2.159964722688157
