SISRS_Split,Tree_Split,Median_Age
2,15,18.841832244173638
3,16,25.122442992203638
4,17,12.561221494520797
5,18,16.748295338606802
6,19,8.374147665625507
7,20,4.187073822636233
8,21,11.165530217083088
9,22,5.582765104296026
